optimizer,benchmark,task,test_score_mean,test_score_std,tokens_mean,tokens_std,time_mean_s,gens_mean,n_seeds,n_errors
crispo,bbh,causal_judgement,0.6447,0.0256,1705641,633661,1920.3,8.6,5,0
crispo,bbh,disambiguation_qa,0.5100,0.0543,1548486,546441,2102.5,9.4,5,0
crispo,bbh,dyck_languages,0.4140,0.0483,1093683,304837,1712.9,8.4,5,0
crispo,bbh,formal_fallacies,0.6320,0.0415,1708039,604247,1986.9,9.2,5,0
crispo,bbh,hyperbaton,0.8600,0.0339,967477,182908,1279.0,7.4,5,0
crispo,bbh,logical_deduction_five_objects,0.4760,0.0568,1842718,689370,2172.5,9.0,5,0
crispo,bbh,reasoning_about_colored_objects,0.5580,0.0550,1647503,488400,1972.8,9.4,5,0
crispo,bbh,salient_translation_error_detection,0.5380,0.0179,2062364,786271,2036.8,8.6,5,0
dsge_evolutionary,bbh,causal_judgement,0.5702,0.0287,292085,83802,105.3,6.8,5,0
dsge_evolutionary,bbh,disambiguation_qa,0.5800,0.0800,139455,27919,58.5,6.2,5,0
dsge_evolutionary,bbh,dyck_languages,0.3860,0.0371,125117,22503,100.5,5.2,5,0
dsge_evolutionary,bbh,formal_fallacies,0.6400,0.0490,206644,38514,71.2,6.0,5,0
dsge_evolutionary,bbh,hyperbaton,0.7700,0.0308,121490,16072,52.5,5.2,5,0
dsge_evolutionary,bbh,logical_deduction_five_objects,0.5400,0.0324,213551,57961,75.7,7.4,5,0
dsge_evolutionary,bbh,reasoning_about_colored_objects,0.5740,0.0508,186421,29850,83.2,5.0,5,0
dsge_evolutionary,bbh,salient_translation_error_detection,0.5700,0.0406,324388,51861,103.9,5.4,5,0
gaapo,bbh,causal_judgement,0.5894,0.0618,2016278,564369,1220.2,7.6,5,0
gaapo,bbh,disambiguation_qa,0.5500,0.0543,1947587,1197197,1415.0,9.2,5,0
gaapo,bbh,dyck_languages,0.4480,0.0466,1602411,603015,1601.5,8.6,5,0
gaapo,bbh,formal_fallacies,0.6320,0.0444,1521477,755354,947.0,6.8,5,0
gaapo,bbh,hyperbaton,0.8800,0.0224,1355544,460793,975.5,7.8,5,0
gaapo,bbh,logical_deduction_five_objects,0.5240,0.0230,2165575,861869,1446.7,8.6,5,0
gaapo,bbh,reasoning_about_colored_objects,0.6140,0.0279,2730414,644134,1840.2,11.8,5,0
gaapo,bbh,salient_translation_error_detection,0.5600,0.0324,2457474,876798,1461.1,8.0,5,0
hpss,bbh,causal_judgement,0.5660,0.0460,566358,156127,182.7,6.0,5,0
hpss,bbh,disambiguation_qa,0.4580,0.0390,294628,107430,87.5,7.0,5,0
hpss,bbh,dyck_languages,0.3380,0.0164,194208,90767,161.6,5.0,5,0
hpss,bbh,formal_fallacies,0.5860,0.0541,274111,92699,76.2,6.4,5,0
hpss,bbh,hyperbaton,0.6880,0.0455,225244,114793,74.6,8.4,5,0
hpss,bbh,logical_deduction_five_objects,0.4900,0.0173,344596,89625,99.1,5.6,5,0
hpss,bbh,reasoning_about_colored_objects,0.6100,0.0367,304328,87021,119.2,5.0,5,0
hpss,bbh,salient_translation_error_detection,0.5700,0.0406,393092,176011,102.2,5.4,5,0
plum,bbh,causal_judgement,0.5574,0.0373,409868,78801,171.5,8.4,5,0
plum,bbh,disambiguation_qa,0.5080,0.0798,171832,35225,87.1,7.0,5,0
plum,bbh,dyck_languages,0.3260,0.0195,247619,35562,220.2,8.4,5,0
plum,bbh,formal_fallacies,0.6180,0.0415,147316,26975,59.3,6.0,5,0
plum,bbh,hyperbaton,0.7520,0.0356,180851,53986,95.4,9.2,5,0
plum,bbh,logical_deduction_five_objects,0.5300,0.0245,277386,52159,81.4,8.0,5,0
plum,bbh,reasoning_about_colored_objects,0.6080,0.0540,232733,66742,104.1,7.6,5,0
plum,bbh,salient_translation_error_detection,0.5660,0.0378,342783,121850,126.9,6.2,5,0
promptbreeder,bbh,causal_judgement,0.5681,0.1306,1660282,368486,804.5,7.6,5,0
promptbreeder,bbh,disambiguation_qa,0.5740,0.0770,1047456,394368,594.5,8.0,5,0
promptbreeder,bbh,dyck_languages,0.2640,0.1369,616484,202326,412.7,6.6,5,0
promptbreeder,bbh,formal_fallacies,0.5620,0.0402,1187937,276696,596.9,6.8,5,0
promptbreeder,bbh,hyperbaton,0.8560,0.0410,1048591,333504,660.8,8.8,5,0
promptbreeder,bbh,logical_deduction_five_objects,0.5300,0.0400,1211431,238644,738.1,5.8,5,0
promptbreeder,bbh,reasoning_about_colored_objects,0.6340,0.0472,1495563,541549,707.8,9.8,5,0
promptbreeder,bbh,salient_translation_error_detection,0.5720,0.0415,1705754,360188,735.2,7.0,5,0
see,bbh,causal_judgement,0.6043,0.0466,715185,101280,553.2,2.0,5,0
see,bbh,disambiguation_qa,0.4660,0.0391,505388,149430,445.2,2.0,5,0
see,bbh,dyck_languages,0.4160,0.0467,606266,77780,761.8,2.0,5,0
see,bbh,formal_fallacies,0.6580,0.0377,434471,78964,286.3,2.0,5,0
see,bbh,hyperbaton,0.8700,0.0292,546754,98193,510.5,2.0,5,0
see,bbh,logical_deduction_five_objects,0.4940,0.0152,757638,84267,677.9,2.0,5,0
see,bbh,reasoning_about_colored_objects,0.6060,0.0439,611024,223708,503.4,2.0,5,0
see,bbh,salient_translation_error_detection,0.5740,0.0451,763592,200469,589.9,2.0,5,0
