optimizer,benchmark,task,test_score_mean,test_score_std,tokens_mean,tokens_std,time_mean_s,gens_mean,n_seeds,n_errors
crispo,bbh,causal_judgement,0.5922,0.0374,2444419,540572,1589.5,7.3,3,0
crispo,bbh,disambiguation_qa,0.5133,0.0252,1568345,671249,1914.2,8.0,3,0
crispo,bbh,dyck_languages,0.4067,0.0289,1266254,289967,1426.0,7.3,3,0
crispo,bbh,formal_fallacies,0.6367,0.0666,2036407,309297,2039.4,7.7,3,0
crispo,bbh,hyperbaton,0.8500,0.0300,885952,102531,955.4,6.3,3,0
crispo,bbh,logical_deduction_five_objects,0.4400,0.0265,1608902,367680,1585.8,7.0,3,0
crispo,bbh,object_counting,0.4700,0.0721,1050121,276347,1062.6,7.0,3,0
crispo,bbh,reasoning_about_colored_objects,0.5600,0.0781,1375716,362912,1291.2,7.0,3,0
crispo,bbh,salient_translation_error_detection,0.5300,0.0100,2541325,159740,2698.9,8.7,3,0
crispo,bbh,word_sorting,0.0433,0.0058,1039990,230942,980.0,6.7,3,0
crispo,gsm8k,gsm8k,0.8067,0.0252,1432971,327757,3938.5,6.0,3,0
crispo,humaneval,humaneval,0.7273,0.0303,1243100,174287,4204.2,4.0,3,0
crispo,mmlu,abstract_algebra,0.5733,0.0289,1333371,682171,1741.0,6.3,3,0
crispo,mmlu,college_computer_science,0.6800,0.0265,2065983,585038,2549.0,8.0,3,0
crispo,mmlu,college_mathematics,0.4500,0.0693,1565673,150184,1788.9,7.7,3,0
crispo,mmlu,formal_logic,0.5900,0.0458,2134849,336469,2506.2,7.3,3,0
crispo,mmlu,high_school_biology,0.8933,0.0058,2007503,316160,2059.3,8.0,3,0
crispo,mmlu,machine_learning,0.5000,0.0436,1995469,101884,2509.8,8.7,3,0
crispo,mmlu,moral_scenarios,0.2467,0.0503,1338677,27140,1377.9,6.0,3,0
crispo,mmlu,philosophy,0.7567,0.0115,1702267,180102,1868.3,8.0,3,0
dsge_evolutionary,bbh,causal_judgement,0.2305,0.0268,522053,73718,92.8,6.0,3,0
dsge_evolutionary,bbh,disambiguation_qa,0.4967,0.0058,217143,28788,41.3,5.0,3,0
dsge_evolutionary,bbh,dyck_languages,0.3167,0.0153,219050,10973,52.0,5.0,3,0
dsge_evolutionary,bbh,formal_fallacies,0.6200,0.0300,272537,31088,51.0,5.0,3,0
dsge_evolutionary,bbh,hyperbaton,0.7067,0.0808,154543,13358,30.8,6.3,3,0
dsge_evolutionary,bbh,logical_deduction_five_objects,0.5433,0.0451,230048,42527,43.8,5.0,3,0
dsge_evolutionary,bbh,object_counting,0.4500,0.1179,157266,11861,32.8,5.0,3,0
dsge_evolutionary,bbh,reasoning_about_colored_objects,0.5900,0.0265,251316,15163,57.7,5.7,3,0
dsge_evolutionary,bbh,salient_translation_error_detection,0.5367,0.0252,393906,159172,82.7,6.3,3,0
dsge_evolutionary,bbh,word_sorting,0.0433,0.0058,175533,6075,35.0,5.0,3,0
dsge_evolutionary,gsm8k,gsm8k,0.8067,0.0586,270270,18060,568.0,7.0,3,0
dsge_evolutionary,humaneval,humaneval,0.7576,0.0000,311054,28499,675.6,5.0,3,0
dsge_evolutionary,mmlu,abstract_algebra,0.5900,0.0000,115715,11908,23.6,5.0,3,0
dsge_evolutionary,mmlu,college_computer_science,0.7000,0.0000,171526,6405,33.7,5.0,3,0
dsge_evolutionary,mmlu,college_mathematics,0.5000,0.0000,151916,14272,30.3,5.0,3,0
dsge_evolutionary,mmlu,formal_logic,0.6100,0.0000,189704,24848,37.4,5.0,3,0
dsge_evolutionary,mmlu,high_school_biology,0.8800,0.0000,264435,38092,49.4,5.0,3,0
dsge_evolutionary,mmlu,machine_learning,0.5633,0.0252,156060,12203,30.4,6.3,3,0
dsge_evolutionary,mmlu,moral_scenarios,0.3200,0.0173,242718,34741,52.0,5.0,3,0
dsge_evolutionary,mmlu,philosophy,0.7700,0.0000,212099,17850,40.3,5.0,3,0
gaapo,bbh,causal_judgement,0.5567,0.0123,2163463,582064,1020.4,6.7,3,0
gaapo,bbh,disambiguation_qa,0.5233,0.0493,1289745,434549,897.0,7.0,3,0
gaapo,bbh,dyck_languages,0.4233,0.0208,1185701,205154,930.3,6.3,3,0
gaapo,bbh,formal_fallacies,0.6333,0.0252,1167595,375770,671.4,6.0,3,0
gaapo,bbh,hyperbaton,0.8733,0.0058,972579,290664,691.0,6.0,3,0
gaapo,bbh,logical_deduction_five_objects,0.5267,0.0058,1678801,419279,1069.5,7.3,3,0
gaapo,bbh,object_counting,0.4733,0.0058,1128961,433534,827.0,6.7,3,0
gaapo,bbh,reasoning_about_colored_objects,0.6067,0.0153,1200031,385850,710.5,6.3,3,0
gaapo,bbh,salient_translation_error_detection,0.5667,0.0208,1967083,120661,1174.7,7.3,3,0
gaapo,bbh,word_sorting,0.0433,0.0058,713931,59848,458.0,5.0,3,0
gaapo,gsm8k,gsm8k,0.8533,0.0611,1830632,18552,3655.4,8.0,3,0
gaapo,humaneval,humaneval,0.7778,0.0175,1505557,111878,4031.2,4.3,3,0
gaapo,mmlu,abstract_algebra,0.5900,0.0000,502894,35372,555.6,5.0,3,0
gaapo,mmlu,college_computer_science,0.6667,0.0231,919622,166519,919.9,6.7,3,0
gaapo,mmlu,college_mathematics,0.4800,0.0173,572424,13437,571.7,5.0,3,0
gaapo,mmlu,formal_logic,0.6033,0.0306,1339683,339449,1423.4,8.7,3,0
gaapo,mmlu,high_school_biology,0.8800,0.0100,1325366,324976,879.4,6.3,3,0
gaapo,mmlu,machine_learning,0.5300,0.0346,731135,235224,739.7,6.0,3,0
gaapo,mmlu,moral_scenarios,0.3467,0.0115,1188806,88604,829.0,5.0,3,0
gaapo,mmlu,philosophy,0.7700,0.0000,844896,61272,542.6,5.0,3,0
hpss,bbh,causal_judgement,0.5426,0.0426,620968,143051,109.8,7.0,3,0
hpss,bbh,disambiguation_qa,0.4833,0.0208,155179,31810,32.0,5.3,3,0
hpss,bbh,dyck_languages,0.3167,0.0058,264451,102832,120.1,6.3,3,0
hpss,bbh,formal_fallacies,0.6067,0.0115,236620,23582,44.7,5.0,3,0
hpss,bbh,hyperbaton,0.6933,0.0643,142439,52466,29.9,5.3,3,0
hpss,bbh,logical_deduction_five_objects,0.5467,0.0351,309355,13685,61.0,8.3,3,0
hpss,bbh,object_counting,0.5233,0.0493,234674,47713,47.6,7.7,3,0
hpss,bbh,reasoning_about_colored_objects,0.6200,0.0265,247053,111618,56.1,6.0,3,0
hpss,bbh,salient_translation_error_detection,0.5533,0.0058,298953,92692,58.9,6.3,3,0
hpss,bbh,word_sorting,0.0433,0.0058,141385,5622,32.2,5.0,3,0
hpss,gsm8k,gsm8k,0.5633,0.0462,306352,26695,604.5,6.3,3,0
hpss,humaneval,humaneval,0.7576,0.0000,244632,17955,605.9,5.0,3,0
hpss,mmlu,abstract_algebra,0.5900,0.0000,84433,6761,18.3,5.0,3,0
hpss,mmlu,college_computer_science,0.7000,0.0000,105765,0,21.8,5.0,3,0
